Month,Day,Hour,Reward
2,28,1,0.0
2,28,2,3.4970231481039025
2,28,3,2.151746471652739
2,28,4,2.019185773977621
2,28,5,5.159004201757417
2,28,6,1.9073732726888855
2,28,7,-1.508144777704608
2,28,8,4.255112415268441
2,28,9,6.193814410233052
2,28,10,4.68770371629809
2,28,11,4.502345388058643
2,28,12,3.140942303738214
2,28,13,3.3794845963459172
2,28,14,1.5613920992765342
2,28,15,4.370852984296395
2,28,16,1.422799456809039
2,28,17,5.530330773518188
2,28,18,2.7336990697500045
2,28,19,3.962602962081792
2,28,20,2.780456374307748
2,28,21,1.8383253902038783
2,28,22,5.841184046863496
2,28,23,3.6726403992123613
2,28,24,4.767592258224554
