Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 5:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 6:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 7:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 8:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,9467.715469910723,10266.354062256623,7333.488818040744,8284.238990670683,7716.782576847085,8643.440050774854,9716.163659420185,10508.212005864749
02/2802:00:00,10711.034470786488,3829.233643867668,3705.3538524297874,4205.669145521236,4592.04895187367,3012.7063880413248,6824.84647528698,5379.660527617261
02/2803:00:00,7539.8409493944655,5309.654762423636,3029.2226364772105,5499.222354230242,9017.689229183874,7050.8030754797055,10695.363896363331,9653.294831006117
02/2804:00:00,2405.463579720859,3913.6072241311326,4572.05632571836,7881.28111225829,5031.847709431047,5239.834470329544,5679.960839801013,10662.729173962549
02/2805:00:00,8112.619392832796,1511.3288685569885,1315.9549744194348,5821.702210360908,7149.929733932696,8208.989858670024,6184.390650900135,10529.360886170827
02/2806:00:00,10562.322848941842,5941.304431798312,6287.31162443026,7503.459587326638,7580.155580278051,5196.133875667105,8116.089772634387,
02/2807:00:00,10049.763405222497,9504.842282056456,2206.3974319310046,4963.30552917977,6629.404335647417,7934.166702976152,6095.298851172068,
02/2808:00:00,10279.111724036124,7870.226831500599,8335.147442895313,10218.962817095024,7081.123108595502,1645.5320605220602,6411.593569778878,1792.3741862182044
02/2809:00:00,8857.018147897506,9415.878995719602,1243.494512154943,8137.73318374608,10242.291947450549,8448.217356294756,6598.926010589776,9028.702940773564
02/2810:00:00,8633.583157868907,8688.000475795641,5401.964400490146,2492.9315067201683,8106.412960322343,2809.6612428948174,1617.269618741194,
02/2811:00:00,9483.098559293116,7550.528988957029,1529.0681494326825,1261.948204172112,3230.7466127543253,10212.24300292973,4725.612029518311,8473.37007623926
02/2812:00:00,5903.775515093725,1047.298532779368,3778.191342574164,4380.929938313121,1384.5205774914632,9808.25291097871,2515.317079714003,
02/2813:00:00,7341.144707855711,9918.582965492404,3144.464746572543,1714.198696376223,3434.891631785847,7820.607740785039,,
02/2814:00:00,7011.149491690475,9522.501148055617,1118.1370328325645,1345.9536224745796,,,,
02/2815:00:00,9976.939156651708,614.400573918424,866.9898946568371,4635.346479946776,,,,
02/2816:00:00,9628.017288068346,9683.670891457656,6616.217687689939,610.335307360981,6501.91127472326,7360.0354015912035,,
02/2817:00:00,4026.978746373669,10312.527813378696,7760.5217850357,9342.407034989705,,,,
02/2818:00:00,4350.008141225893,9068.495473395484,5394.229608396128,1325.3369508090077,10291.134713711604,7199.91385656601,570.9727221350184,
02/2819:00:00,6636.964740258864,6631.869657605297,8041.578463649625,6950.221884081145,5586.372518341072,,,
02/2820:00:00,9444.530469239233,5927.003060193696,6927.730388193549,5553.991005538165,1505.7291019244517,9856.598703507956,1021.750922641862,3932.81534895591
02/2821:00:00,4571.021681031191,1298.364957825688,1992.1894097435547,8039.236626552312,6785.081071386052,5232.416814822578,1511.8067068337523,10401.374699532063
02/2822:00:00,10067.765884972618,4695.433069743153,731.6426275713587,2988.0947317590026,3727.7637651791374,2696.292462344444,3638.8945505566094,5234.682006508288
02/2823:00:00,4341.974069644305,7730.34470306868,4026.140286760413,1820.8748474802344,10465.83921022734,5116.433501511702,2692.888585129918,3198.6163076818857
02/2824:00:00,6006.420960914287,10602.342195100598,4686.762025251924,976.5928917184486,689.1853256248853,5819.503559309766,3275.48089515152,8173.304230603359
