Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,7721.001345263705,8219.816684849866,7886.756765950566,8382.466281273504
02/2802:00:00,9402.027789261188,9823.537642935791,9527.50908427852,9947.146512872025
02/2803:00:00,9279.578794058749,9532.544363856676,9343.573862950776,9595.53994888136
02/2804:00:00,9871.808384387366,10068.625022539814,9913.874622047468,10109.889418009336
02/2805:00:00,10264.457401024754,10432.022043887227,10297.0343191554,10463.945521993786
02/2806:00:00,9378.52554446843,9519.780653779884,9405.147838409928,9545.846555820095
02/2807:00:00,9522.08432641436,9653.438686060112,9546.06293543482,9676.87101199041
02/2808:00:00,9789.855431702084,9904.910498200165,9810.057407802637,9924.622422569344
02/2809:00:00,7177.488477961402,7249.840587874763,7190.38047523669,7262.482941495346
02/2810:00:00,7193.429317374144,7369.7876680721,6942.388927687248,7120.138259532448
02/2811:00:00,6866.112267301692,7371.60383596576,6024.386619213294,6542.624943182479
02/2812:00:00,8243.515211230462,9493.489051031083,6715.731913636305,7994.768717817098
02/2813:00:00,7224.708257709473,9465.683906301325,5382.727528844576,7697.669765506681
02/2814:00:00,6058.305292506743,9760.639748971133,4050.208086044769,7935.708972175876
02/2815:00:00,4507.062143121191,9009.338645722351,2848.7098857122014,7518.495500998503
02/2816:00:00,4359.040886637215,10023.00756253325,2729.859386645653,8540.446691610483
02/2817:00:00,3296.899228644232,9196.37007133706,2253.91650022839,8254.671147393692
02/2818:00:00,1530.8624040796578,5729.0238336086495,1664.7252198727783,5895.662328967034
02/2819:00:00,1134.0129117743386,3872.0618244130624,1918.6065369064972,4639.46442534367
02/2820:00:00,3414.423696186205,6124.298972680253,4685.619054311251,7273.238763722473
02/2821:00:00,7197.645550830794,9128.683405020904,8122.335105928425,9969.389453988057
02/2822:00:00,7792.232904948077,8953.806853563772,8307.552083575005,9451.921489487971
02/2823:00:00,8575.575362397783,9549.181376169849,8990.876265531098,9952.30705579084
02/2824:00:00,8178.062288256288,8869.68534112019,8449.34660068027,9134.705699889526
