Date/Time,COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 2:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 3:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 4:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 5:Heating Coil Electricity Rate [W](TimeStep),COIL HEATING ELECTRIC 6:Heating Coil Electricity Rate [W](TimeStep) 
02/2801:00:00,9469.995268828336,10268.69038113328,7336.099031437805,8286.875199416078,9718.763494522833,10510.82988784538
02/2802:00:00,9574.47563926328,9659.848869074916,10033.1630114351,9769.717913659606,9854.039134420173,10287.21557554109
02/2803:00:00,10102.111349259963,10413.591268903869,8615.095563947578,8969.942335697504,10156.545966692833,10462.245830826623
02/2804:00:00,9545.559438546798,9582.341836310155,9734.418003656529,9607.956160113652,9644.13945563678,10054.564050944791
02/2805:00:00,10487.95361906889,10697.599150084676,8982.551940443755,9006.227201102396,10519.4462697406,10724.87750526845
02/2806:00:00,10060.056157834902,10088.752566513827,10205.620456755234,10210.751223251767,10107.684005539986,10135.986477961294
02/2807:00:00,10435.451886938505,10597.36261026729,8865.918189376762,8883.164011813544,10456.755652349051,10617.524929176428
02/2808:00:00,10580.38260694208,10603.98056546479,10709.362827563842,10713.173915555428,10624.821526070433,10648.126076647584
02/2809:00:00,10372.68616698857,10509.064435179394,8850.853452488165,8867.223411003812,10404.711338057608,10540.90094894396
02/2810:00:00,9454.48890743358,9491.526511815013,9870.460052534414,9910.254898910563,9542.689645081871,9498.5336380086
02/2811:00:00,8440.954158577464,8449.968490239144,10326.110982316022,7356.798977347817,7911.240937924091,7414.78383984151
02/2812:00:00,8983.760170427338,9229.86046123893,9603.599018478204,9580.294586557626,9162.342280840956,8846.416851379614
02/2813:00:00,9716.7490168624,10399.506402362234,9711.249668495702,6273.038909805829,7318.528177298466,6343.35587243615
02/2814:00:00,8674.847121303213,9498.31492790538,8556.672686011136,8752.10558600713,9652.7840338184,9204.844384148384
02/2815:00:00,9493.749713178757,9976.799714794488,9073.093258959609,9697.2491723492,7885.220798600757,7823.607797155351
02/2816:00:00,8098.44906635865,8914.97183004044,9637.094681316112,7661.183047124492,8511.784896084768,9277.426208142044
02/2817:00:00,8948.10696091499,7864.657348244845,8696.687553768374,7296.8419502592815,8084.058379326171,8909.799444791874
02/2818:00:00,6549.896845071532,5931.482786028579,6777.078075283305,7747.358823098059,6770.612769652779,7746.950418560658
02/2819:00:00,5884.028372469185,6968.29806625824,5259.1317579298575,5955.063942497618,6700.0491922266365,7771.050880158858
02/2820:00:00,7231.231985811755,9204.219011332658,8185.036686222282,7959.029504116582,8046.677918659368,7519.630686953822
02/2821:00:00,7667.275458772634,8169.91880699591,8948.968662455838,7917.971461040816,8829.149533340467,10449.80319395366
02/2822:00:00,8232.237268810079,9905.623990247865,8545.774265657343,7924.230787133027,9147.808715594692,7936.28492792736
02/2823:00:00,8545.898498350205,7833.983351355601,8563.361278460721,7682.466920786939,8481.418636303097,9885.601619663834
02/2824:00:00,8938.348678078362,10361.123767237208,9120.262477349752,8304.628721907802,9674.460894008898,8598.932201485488
